inchikey,year,standard_type,pAct
JAHPSHXIFCRWAV-UHFFFAOYSA-N,2018,IC50,7.022276
JBMJKLDKGMSAEW-UHFFFAOYSA-N,2010,IC50,6.806875
JCKWAMLBAVAUAV-UHFFFAOYSA-N,2015,IC50,6.522879
JCRSYWXQXKKIAW-UHFFFAOYSA-N,2014,IC50,8.096910
JDOZSBUCEZXJHN-UHFFFAOYSA-N,2015,IC50,7.000000
JDXPCOUDPIDYBT-UHFFFAOYSA-N,2015,IC50,6.669586
JFEHBZBLMMENQT-UHFFFAOYSA-N,2015,IC50,7.958607
JFEHBZBLMMENQT-UHFFFAOYSA-N,2015,IC50,8.397940
JGFCNTHQBVGYLN-UHFFFAOYSA-N,2021,IC50,5.335358
JGHSBWAMLKSGST-UHFFFAOYSA-N,2014,IC50,8.698970
JGJAWQWWGRTAPM-UHFFFAOYSA-N,2013,IC50,6.504456
JGRMUIIVSDKLCZ-UHFFFAOYSA-N,2009,IC50,5.914353
JHJVFLOLUAWEGE-UHFFFAOYSA-N,2021,IC50,5.485452
JNZILDSEJPWAQB-UHFFFAOYSA-N,2021,IC50,8.000000
JOLGFTHCESKVEO-UHFFFAOYSA-N,2021,IC50,5.958607
JPVHQZNWQHSUQE-UHFFFAOYSA-N,2007,IC50,6.920819
JQKIHZZRPQRCIL-UHFFFAOYSA-N,2015,IC50,6.853872
JROGONHUURMXMQ-UHFFFAOYSA-N,2010,IC50,7.214670
JRWYOUUHSXSYPM-UHFFFAOYSA-N,2010,IC50,9.000000
JRWYOUUHSXSYPM-UHFFFAOYSA-N,2010,IC50,8.221849
JSKCBBJNQMKSTI-UHFFFAOYSA-N,2013,IC50,5.648011
