inchikey,year,standard_type,pAct
BQQPMKLRRRAGKG-UHFFFAOYSA-N,2008,IC50,8.366532
BQVBUTSGRMTRRM-JSKGAOECSA-N,2002,Ki,8.397940
BQYNOCZVNLUEFZ-UPVQGACJSA-N,1995,Ki,10.199971
BRFMQRSCKIRUOE-UHFFFAOYSA-N,2013,IC50,8.698970
BRKDCKOZZMMGML-UHFFFAOYSA-N,2011,IC50,8.214670
BRLRPZHZRJLASK-UHFFFAOYSA-N,1996,IC50,8.259637
BSFVUCOLFARLEH-UHFFFAOYSA-N,2002,IC50,9.221849
BSSJFXMTCJBDKV-UMSFTDKQSA-N,1993,IC50,6.663540
BTEBCPFVXKEUFE-NNIBMBRCSA-N,2002,Ki,7.154902
BTNXYNMBBUYZIK-UOKFIYJESA-N,2011,Ki,9.387216
BTWXSVJGGMEXOC-VXKWHMMOSA-N,1994,IC50,6.795880
BTWXSVJGGMEXOC-YADHBBJMSA-N,1994,IC50,5.853872
BTWXSVJGGMEXOC-YADHBBJMSA-N,1998,IC50,5.849999
BUBGVFLMAHPWIA-UHFFFAOYSA-N,1996,IC50,6.197911
BUBWRIVYXMCTAG-UHFFFAOYSA-N,2003,Ki,8.799971
BUBWRIVYXMCTAG-UHFFFAOYSA-N,2002,IC50,8.299989
BUZFNMDWWXZBPX-JBDIKNGWSA-N,2001,IC50,9.721246
BVALXLKHALQQPF-UHFFFAOYSA-N,2013,IC50,6.366532
BVFFMEGUHCQFCU-CLOBBXFDSA-N,1998,Ki,7.102373
BVFQAQPYYOPYCQ-UHFFFAOYSA-N,1997,IC50,6.124939
BVHJWOSUNVNWPB-OECQAKIHSA-N,2007,IC50,9.886057
BVLMVGJWTZPXLY-BCAQGFRRSA-N,2006,Ki,8.000000
BVLMVGJWTZPXLY-BCAQGFRRSA-N,2006,Kd,8.899974
BVMNQSAYSSXTLM-UHFFFAOYSA-N,1994,IC50,8.167491
BVQGYVXUNMZWGR-RTWAWAEBSA-N,2007,IC50,6.346787
BWAMRYBZFXESAA-QEAPWSMKSA-N,2006,IC50,8.920819
BWAQGKDPIWERFY-RNAHPLFWSA-N,2014,Ki,6.199998
BWTVMVHFJRFVFO-CYBMUJFWSA-N,2015,Ki,4.900000
BWTVMVHFJRFVFO-CYBMUJFWSA-N,2016,Ki,4.896196
BWTVMVHFJRFVFO-CYBMUJFWSA-N,2018,Ki,4.896196
